日付,曜日,メイン,野菜,デザート,飲み物,栄養士
2025-12-05,金,食パン・手作りりんごジャム・鶏肉のトマト煮,温野菜サラダ,チーズ,牛乳,吉田真里奈
2025-12-06,土,シーフードピラフ,グリーンサラダ・オニオンスープ,白桃ゼリー,牛乳,吉田真里奈
2025-12-07,日,ちゃんぽん麺,揚げ餃子,杏仁豆腐,牛乳,吉田真里奈
2025-12-08,月,赤飯・エビフライ,紅白なます・お祝いすまし汁,お祝いショートケーキ,牛乳,吉田真里奈
2025-12-09,火,ご飯・鯖のゆず味噌焼き,春キャベツのお浸し・若竹汁,オレンジ,牛乳,吉田真里奈
2025-12-10,水,黒糖パン・マッシュルームのシチュー,アスパラガスのサラダ,りんご,牛乳,吉田真里奈
2025-12-11,木,たけのこご飯・だし巻き玉子,小松菜の胡麻和え・すまし汁,いちご,牛乳,吉田真里奈
2025-12-12,金,ご飯・肉じゃが（新じゃが）,ほうれん草のツナ和え,ヨーグルト,牛乳,吉田真里奈
2025-12-13,土,チキンカレー,福神漬け・フルーツポンチ,チーズ,牛乳,吉田真里奈
2025-12-14,日,きつねうどん,ちくわの磯辺揚げ・ゆかり和え,抹茶アイス風デザート,お茶,吉田真里奈
2025-12-15,月,ご飯・麻婆豆腐,バンサンスー,バナナ,牛乳,吉田真里奈
2025-12-16,火,丸パン・白身魚のフライ,ボイルキャベツ・ミネストローネ,キウイ,牛乳,吉田真里奈
2025-12-17,水,ご飯・豚肉の生姜焼き,ポテトサラダ・玉ねぎの味噌汁,みかん,牛乳,吉田真里奈
2025-12-18,木,山菜うどん,さつまいもの天ぷら・ごま塩和え,わらび餅,牛乳,吉田真里奈
2025-12-19,金,ご飯・鮭の塩麹焼き,切り干し大根の煮物・豚汁,オレンジ,牛乳,吉田真里奈
2025-12-20,土,焼きそば,大根サラダ,フルーツヨーグルト,牛乳,吉田真里奈
2025-12-21,日,ミートソーススパゲティ,フレンチサラダ,手作りチョコケーキ,牛乳,吉田真里奈
2025-12-22,月,黒豆パン・ポークチャップ,粉吹き芋・コーンスープ,りんご,牛乳,吉田真里奈
2025-12-23,火,ご飯・筑前煮,厚焼き玉子・すまし汁,ぶどうゼリー,牛乳,吉田真里奈
2025-12-24,水,クリスマスチキン・バターライス,グリーンサラダ・コーンポタージュ,クリスマスケーキ,牛乳,吉田真里奈
2025-12-25,木,ご飯・鯖のカレー焼き,もやしのナムル・中華スープ,バナナ,牛乳,吉田真里奈
2025-12-26,金,食パン・いちごジャム・スペイン風オムレツ,アスパラソテー・野菜スープ,グレープフルーツ,牛乳,吉田真里奈
2025-12-27,土,オムライス,コンソメスープ,スナックパイン,牛乳,吉田真里奈
2025-12-28,日,醤油ラーメン,揚げ餃子・中華風春雨サラダ,マンゴーゼリー,牛乳,吉田真里奈
2025-12-29,月,ご飯・ハンバーグ和風おろしソース,根菜汁,いちご,牛乳,吉田真里奈
2025-12-30,火,ご飯・八宝菜,大学芋,オレンジ,牛乳,吉田真里奈
2025-12-31,水,パン・クリームシチュー,ブロッコリーサラダ,りんご,牛乳,吉田真里奈
2026-01-01,木,ご飯・カツオのたたき風,豚汁,ももゼリー,牛乳,吉田真里奈
2026-01-02,金,ご飯・イカのチリソース炒め,中華スープ,みかん,牛乳,吉田真里奈
2026-01-03,土,ナポリタン,ガーリックトースト・シーザーサラダ,パンナコッタ,牛乳,吉田真里奈
2026-01-04,日,カニクリームコロッケ・パン,トマトスープ,フルーツタルト,牛乳,吉田真里奈
2026-01-05,月,ご飯・肉団子の甘酢煮,春雨サラダ,バナナ,牛乳,吉田真里奈
2026-01-06,火,ご飯・ししゃものから揚げ,豆腐の味噌汁・お浸し,キウイ,牛乳,吉田真里奈
2026-01-07,水,コッペパン・マカロニグラタン,フレンチサラダ,いちご,牛乳,吉田真里奈
2026-01-08,木,ピースご飯・ちくわの天ぷら,かき玉汁,柏餅,牛乳,吉田真里奈
2026-01-09,金,パン・アドボ,コールスローサラダ・カレースープ,ヨーグルト,牛乳,吉田真里奈
2026-01-10,土,カツ丼,ほうれん草としめじのお浸し・おすまし,いちごフルーチェ,牛乳,吉田真里奈
2026-01-11,日,塩ラーメン,春巻き・もやしのナムル,ごま団子,牛乳,吉田真里奈
2026-01-12,月,ご飯・鰹のオーロラソース,若竹煮・すまし汁,オレンジ,牛乳,吉田真里奈
2026-01-13,火,ご飯・豚キムチ,トックスープ,マスカットゼリー,牛乳,吉田真里奈
2026-01-14,水,クロワッサン・鮭のクリーム煮,温野菜サラダ,バナナ,牛乳,吉田真里奈
2026-01-15,木,ご飯・高野豆腐の卵とじ,えのきの味噌汁,りんご,牛乳,吉田真里奈
2026-01-16,金,タコライス,もずくスープ,パイナップル,牛乳,吉田真里奈
2026-01-17,土,カレーうどん,じゃこピーマン・小さめおにぎり,スイートポテト,牛乳,吉田真里奈
2026-01-18,日,シーフードドリア,トマトスープ,プリン,牛乳,吉田真里奈
2026-01-19,月,ご飯・鶏肉のレモン風味,キャベツのゆかり和え・味噌汁,みかん,牛乳,吉田真里奈
2026-01-20,火,パインパン・マカロニグラタン,アスパラサラダ,キウイ,牛乳,吉田真里奈
2026-01-21,水,ご飯・さんまの蒲焼き,里芋の味噌汁・磯香和え,ぶどうゼリー,牛乳,吉田真里奈
2026-01-22,木,ご飯・すき焼き風煮,小松菜のお浸し,りんごゼリー,牛乳,吉田真里奈
2026-01-23,金,ビビンバ,わかめと卵のスープ,いちご,牛乳,吉田真里奈
2026-01-24,土,チキン南蛮・ご飯,パプリカのマリネ・コンソメスープ,日向夏,牛乳,吉田真里奈
2026-01-25,日,カルボナーラ,トマトサラダ・野菜スープ,ヨーグルトパフェ,牛乳,吉田真里奈
2026-01-26,月,ご飯・アジの南蛮漬け,すまし汁・ごま和え,バナナ,牛乳,吉田真里奈
2026-01-27,火,レーズンパン・鶏肉のマスタード焼き,人参サラダ・オニオンスープ,オレンジ,牛乳,吉田真里奈
2026-01-28,水,鶏ごぼうご飯・さわらの竜田揚げ,お浸し・味噌汁,りんご,牛乳,吉田真里奈
2026-01-29,木,ご飯・厚揚げの生姜焼き,味噌汁・キャベツのツナ和え,いよかん,牛乳,吉田真里奈
2026-01-30,金,パン・チキンシチュー,ウインナーとコーンのソテー,いちご,牛乳,吉田真里奈
2026-01-31,土,キーマカレー・ナン,チーズサラダ,フルーツポンチ,牛乳,吉田真里奈
2026-02-01,日,ちゃんぽん麺,シュウマイ・青梗菜のナムル,抹茶プリン,牛乳,吉田真里奈
2026-02-02,月,ご飯・豚肉の塩麹焼き,五目きんぴら・大根の味噌汁,キウイ,牛乳,吉田真里奈
2026-02-03,火,きなこ揚げパン・ミネストローネ,コーンサラダ,バナナ,牛乳,吉田真里奈
2026-02-04,水,ご飯・親子煮,青菜の胡麻和え・じゃがいもの味噌汁,みかん,牛乳,吉田真里奈
2026-02-05,木,ご飯・鱈の甘酢あんかけ,中華スープ・春雨サラダ,オレンジ,牛乳,吉田真里奈
2026-02-06,金,豚骨ラーメン,鶏キムチ炒め,杏仁豆腐,牛乳,吉田真里奈
2026-02-07,土,ガーリックライス・牛肉のステーキ風,オニオンスープ・ほうれん草ソテー,いちごショートケーキ,牛乳,吉田真里奈
2026-02-08,日,オムそば,大根サラダ・わかめスープ,ヨーグルトパフェ,牛乳,吉田真里奈
2026-02-09,月,パン・水なすとベーコンのスパゲティ,ツナサラダ,パイナップル,牛乳,吉田真里奈
2026-02-10,火,ご飯・鯖の香味ソースかけ,小松菜と油揚げのおひたし・豚汁,キウイ,牛乳,吉田真里奈
2026-02-11,水,ご飯・五目うどん,夏野菜のかきあげ,白玉あずき,牛乳,吉田真里奈
2026-02-12,木,パン・ミンチカツ,厚切りベーコンとエリンギのソテー・スコッチブロス,りんご,牛乳,吉田真里奈
2026-02-13,金,ご飯・鰆のレモンしょうゆかけ,切干大根の炒め煮・沢煮椀,みかん,牛乳,吉田真里奈
2026-02-14,土,ハンバーグカレーライス,フレンチサラダ,手作りチョコレートブラウニー,牛乳,吉田真里奈
2026-02-15,日,味噌ラーメン・焼き餃子,中華風春雨サラダ,マンゴーゼリー,牛乳,吉田真里奈
2026-02-16,月,マーボー丼,中華和え,いちご,牛乳,吉田真里奈
2026-02-17,火,ご飯・厚揚げチゲ,ミニ肉まん・春雨サラダ,オレンジ,牛乳,吉田真里奈
2026-02-18,水,お好み焼き・ご飯,ごま塩昆布和え・かきたま汁,りんごゼリー,牛乳,吉田真里奈
2026-02-19,木,ご飯・白身魚フライ,きゅうりと大根のさっぱりづけ・豆腐のみそ汁,バナナ,牛乳,吉田真里奈
2026-02-20,金,パン・焼きそば,ツナと海藻の和え物,ヨーグルト,牛乳,吉田真里奈
2026-02-21,土,ローストビーフ丼,コーンポタージュ・温野菜サラダ,ガトーショコラ,牛乳,吉田真里奈
2026-02-22,日,エビピラフ,グリーンサラダ・コンソメスープ,チョコムース,牛乳,吉田真里奈
2026-02-23,月,パン・揚げ鶏のマーマレードソースかけ,じゃがいもさっぱりサラダ・ベジタブルスープ,キウイ,牛乳,吉田真里奈
2026-02-24,火,ご飯・いわしの梅煮,ひじき豆・すまし汁,オレンジ,牛乳,吉田真里奈
2026-02-25,水,ご飯・豚肉の味噌炒め,春キャベツの塩昆布和え・豆腐の味噌汁,りんご,牛乳,吉田真里奈
2026-02-26,木,コッペパン・フランクフルトのケチャップ煮,じゃがいものソテー・コーンスープ,みかん,牛乳,吉田真里奈
2026-02-27,金,麦ご飯・ポークカレーライス,福神漬け・海藻サラダ,型抜きチーズ,牛乳,吉田真里奈
2026-02-28,土,牛丼,紅生姜・ほうれん草のお浸し・豚汁,みたらし団子,お茶,吉田真里奈
2026-03-01,日,牛肉のステーキ風・ガーリックライス,ほうれん草ソテー・オニオンスープ,いちごショートケーキ,牛乳,吉田真里奈
2026-03-02,月,ソースカツ丼,キャベツの千切り・なめこ汁,みかんゼリー,牛乳,吉田真里奈
2026-03-03,火,ちらし寿司・鰆の西京焼き,菜の花のお浸し・はまぐり風お吸い物,ひなあられ・桜餅,牛乳,吉田真里奈
2026-03-04,水,ご飯・鶏肉の柚子胡椒焼き,こんにゃくのきんぴら・大根の味噌汁,デコポン,牛乳,吉田真里奈
2026-03-05,木,パインパン・マカロニナポリタン,コーンサラダ,りんご,牛乳,吉田真里奈
2026-03-06,金,ご飯・ブリの照り焼き,若竹煮・かき玉汁,はっさく,牛乳,吉田真里奈
2026-03-07,土,チャーハン・揚げ春巻き,もやしの中華スープ,マンゴーゼリー,牛乳,吉田真里奈
2026-03-08,日,セルフハンバーガー,フライドポテト・ミネストローネ,オレンジゼリー,牛乳,吉田真里奈
2026-03-09,月,鍋焼きうどん,ちくわ天・おにぎり,黒糖ドーナツ,お茶,吉田真里奈
2026-03-10,火,ご飯・豚肉の味噌炒め,春キャベツの塩昆布和え・豆腐の味噌汁,いちご,牛乳,吉田真里奈
2026-03-11,水,パン・鮭の香草焼き,マッシュパンプキン・野菜スープ,キウイ,牛乳,吉田真里奈
2026-03-12,木,わかめご飯・肉じゃが（春カツオ風味）,ほうれん草のツナ和え,ヨーグルト,牛乳,吉田真里奈
2026-03-13,金,ご飯・サバの塩焼き,五目豆・玉ねぎとわかめの味噌汁,バナナ,牛乳,吉田真里奈
2026-03-14,土,ご飯・ハッシュドビーフ,カラフルサラダ,チョコクレープ,牛乳,吉田真里奈
2026-03-15,日,タンドリーチキン・ターメリックライス,キャベツのピクルス・カレースープ,パインアップル,牛乳,吉田真里奈
2026-03-16,月,たらこスパゲティ,水菜と大根のサラダ,チョコプリン,牛乳,吉田真里奈
2026-03-17,火,ご飯・鶏の照り焼き,ゴボウサラダ・すまし汁,みかん,牛乳,吉田真里奈
2026-03-18,水,コッペパン・フランクフルトのケチャップ煮,じゃがいものソテー・コーンスープ,りんご,牛乳,吉田真里奈
2026-03-19,木,麦ご飯・ポークカレーライス,福神漬け・海藻サラダ,フルーツミックス,牛乳,吉田真里奈
2026-03-20,金,赤魚の煮付け・ご飯,おから炒め・えのきの味噌汁,ぼたもち,お茶,吉田真里奈
2026-03-21,土,黒糖パン・マカロニのあべかわ,アスパラサラダ・ポトフ,グレープフルーツ,牛乳,吉田真里奈
2026-03-22,日,牛丼,紅生姜・ほうれん草のお浸し・豚汁,みたらし団子,お茶,吉田真里奈
2026-03-23,月,ロコモコ丼,アボカドとトマトのサラダ,ココナッツミルクゼリー,牛乳,吉田真里奈
2026-03-24,火,ご飯・鱈の甘酢あんかけ,春雨サラダ・中華スープ,オレンジ,牛乳,吉田真里奈
2026-03-25,水,きなこ揚げパン・ミネストローネ,コーンサラダ,バナナ,牛乳,吉田真里奈
2026-03-26,木,ご飯・親子煮,青菜の胡麻和え・じゃがいもの味噌汁,いちご,牛乳,吉田真里奈
2026-03-27,金,菜飯・ししゃものフライ,切り干し大根の煮物・すまし汁,キウイ,牛乳,吉田真里奈
2026-03-28,土,ご飯・鶏の唐揚げ,キャベツの千切り・わかめスープ,いちご,牛乳,吉田真里奈
2026-03-29,日,パン・クリームシチュー,ブロッコリーサラダ,バナナ,牛乳,吉田真里奈
2026-03-30,月,ご飯・豚肉の味噌炒め,ほうれん草のお浸し・豆腐の味噌汁,オレンジ,牛乳,吉田真里奈
2026-03-31,火,赤飯・エビフライ,紅白なます・お祝いすまし汁,お祝いショートケーキ,牛乳,吉田真里奈
